a	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	3	0	0	3
b	0	84	0	0	0	0	1	1	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0
c	0	0	84	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0
d	0	0	1	77	2	8	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	1	1	0	0
e	0	0	0	1	84	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	7	0	0	0
f	0	0	1	8	1	77	8	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0
g	0	1	0	0	0	8	77	8	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	2	0
h	0	1	0	0	0	0	8	77	0	8	0	0	0	1	0	0	0	0	0	1	2	0	0	0	2	0
i	0	0	0	0	0	0	0	0	84	1	1	0	0	0	7	0	0	0	0	0	7	0	0	0	0	0
j	0	0	0	0	0	0	0	8	2	77	8	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0
k	0	0	0	0	0	0	0	0	2	7	80	7	1	0	2	0	0	0	0	0	1	0	0	0	0	0
l	0	0	0	0	0	0	0	0	1	0	10	85	0	0	2	2	0	0	0	0	0	0	0	0	0	0
m	0	0	0	0	0	0	0	0	0	3	3	0	85	9	0	0	0	0	0	0	0	0	0	0	0	0
n	0	7	0	0	0	0	0	1	0	1	0	0	7	84	0	0	0	0	0	0	0	0	0	0	0	0
o	0	0	0	0	0	0	0	0	7	0	1	1	0	0	84	7	0	0	0	0	0	0	0	0	0	0
p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	88	0	0	0	0	0	0	0	0	0	0
q	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	10	0	0	0
r	0	0	0	1	7	1	0	0	0	0	0	0	0	0	0	0	0	84	0	7	0	0	0	0	0	0
s	8	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	1	0	77	0	0	0	2	1	0	1
t	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	7	0	84	0	0	0	0	7	0
u	0	0	0	0	0	0	0	1	7	1	0	0	0	0	0	0	0	0	0	0	84	0	0	0	7	0
v	0	7	7	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0
w	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	84	0	0	0
x	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	84	0	7
y	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	84	0
z	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	9	0	85
